region,timezone,language,lasttime,created_bill,package,hours_user,sum_vm,sum_length,is_paid
VN,7,vi,109,57,cpuhub1,46,3,1.70917E+11,1
CR,-6,en,0,1072,1x2080Ti,64,1,7885291520,0
IT,1,it,0,26,1x3090,11,1,28211937280,0
VN,7,vi,0,29,1x2080Ti,67,1,3721396224,0
RO,3,ja,11,405,16,18,3,1.55893E+11,1
FR,2,fr,30,121,1x3090,17,9,9.02622E+11,1
IN,5,en,2,2681,1x3090,44,1,29644021437,1
VN,7,vi,NULL,39,1x2080Ti,584,4,42533388288,1
US,-4,en,77,64988,22,77,7,1.04571E+12,1
VN,7,vi,0,799,1x3090,48,3,77148979200,0
DE,2,de,98,45,1x3090,46,2,20978065975,1
AU,7,en,5,227,18,15,2,52686749696,0
RU,3,en,60,235,16,52,49,4.00901E+12,1
CA,-5,en,0,1152,cpuhub1,4,1,5400166400,0
US,-4,en,251,112,6x3080,15,9,5.81557E+11,1
US,-4,en,7,24,1x3090,61,1,1.32004E+11,1
VN,7,en,0,2408,cpuhub1,52,2,1.40065E+11,0
US,-6,en,0,194,23,18,2,71658635264,0
VN,7,fr,NULL,1103,cpuhub1,900,2,78182875136,1
PL,2,pl,0,2951,16,3,2,58401488896,1
FR,1,fr,117,153,16,59,3,1.65055E+11,1
US,-5,en,18,162,23,141,1,45726302208,1
FR,1,en,0,121,22,37,1,54482960384,1
CD,2,en,15,1382,1x3090,19,1,26548895744,0
US,-4,en,126,6138,1x3090,79,8,1.35269E+11,1
VN,7,vi,2,19,cpuhub1,120,1,45436895232,0
IN,5,en,0,4355,1x3090,8,1,26571964416,0
DE,2,de,NULL,64,sliver,13,1,2294284288,1
FR,1,fr,94,14597,22,60,3,1.60599E+11,1
VN,7,en,202,249,1x3090,160,1,1.16097E+11,1
TH,7,en,139,62,1x2080Ti,24,2,54533292032,0
US,-5,en,0,132,1x3090,89,1,60763930624,1
VN,7,en,186,34,16,894,6,8.33685E+11,1
VN,7,vi,12,702,1x2080Ti,11,1,66840428544,0
VN,2,en,214,228,1x3090,259200,2,1.50662E+11,0
NL,1,nl,0,53,1x3090,43,3,97464090624,0
CA,-7,en,158,1329,17,20,2,50827431427,1
NG,1,en,91,4724,cpuhub1,183,2,69670535168,1
MX,-6,es,0,3928,1x2080Ti,56,1,15426650112,0
VN,7,vi,96,78,1x3090,108,3,1.75063E+11,1
VN,7,vi,314,307,1x3090,130,10,3.92857E+11,1
US,-5,en,56,1343,1x3090,34,2,62291705856,1
NL,2,nl,73,90,6x3080,300,2,20060355614,1
NL,1,en,162,42,1x3090,24,1,1.41435E+11,1
VN,7,vi,86,771,cpuhub1,112,1,33696713149,1
BJ,1,fr,12,897,16,150,4,88135469926,1
AU,10,en,8,2883,1x3090,23,1,58916339712,1
CA,-7,en,0,75314,16,24,1,33863761920,0
US,-4,en,4,113,23,647,2,2.38096E+11,1
VN,7,vi,0,69,cpuhub1,247,1,21473830218,1
HU,2,hu,6,1307,cpuhub1,3,3,85717120724,1
US,-7,en,12,13,18,111,6,6.14958E+11,1
VN,7,vi,0,43,1x3090,61,1,12405702656,0
NG,1,en,0,96,22,5,1,42074112000,0
IN,5,en,23,44695,1x3090,2,8,6.40567E+11,1
VN,7,en,0,58,1x3090,75,1,3.10547E+11,0
US,-7,en,137,30474,1x3090,13,4,2.31536E+11,1
VN,7,en,10,198,1x3090,79,6,1.32038E+11,1
DE,2,en,1,32,16,21,2,71121764352,1
DE,7,en,326,56,6x2080ti,3,2,1.4474E+11,1
IN,5,en,0,1535,1x3090,80,3,76991692800,0
VN,7,vi,0,72,cpuhub1,69,1,35365658936,0
CG,-5,en,217,512,1x2080Ti,29,4,1.15436E+11,1
DE,1,en,19,110,16,17,1,36227252224,1
IT,2,it,5,65,22,234,3,1.22159E+11,1
VN,7,vi,8,1752,1x3090,64,6,1.75729E+11,1
IT,1,it,25,553,1x3090,5,1,32105916357,1
TR,3,en,0,117,1x3090,36,1,33779875840,0
IN,5,en,108,68,1x3090,212,1,1.24519E+11,1
TR,3,tr,1,1756,1x3090,79,3,82648329867,0
US,-4,en,1,38,1x3090,2,3,1.96415E+11,1
