region,timezone,language,lasttime,created_bill,package,hours_use,sum_length,is_paid
VN,7,vi,109,0.95,cpuhub1,0.766666667,170.917,1
CR,-6,en,0,17.86666667,1x2080Ti,1.066666667,7.88529152,0
IT,1,it,0,0.433333333,1x3090,0.183333333,28.21193728,0
VN,7,vi,0,0.483333333,1x2080Ti,1.116666667,3.721396224,0
RO,3,ja,11,6.75,16,0.3,155.893,1
FR,2,fr,30,2.016666667,1x3090,0.283333333,902.622,1
IN,5,en,2,44.68333333,1x3090,0.733333333,29.64402144,1
US,-4,en,77,1083.133333,22,1.283333333,1045.71,1
VN,7,vi,0,13.31666667,1x3090,0.8,77.1489792,0
DE,2,de,98,0.75,1x3090,0.766666667,20.97806598,1
AU,7,en,5,3.783333333,18,0.25,52.6867497,0
RU,3,en,60,3.916666667,16,0.866666667,4009.01,1
CA,-5,en,0,19.2,cpuhub1,0.066666667,5.4001664,0
US,-4,en,251,1.866666667,6x3080,0.25,581.557,1
US,-4,en,7,0.4,1x3090,1.016666667,132.004,1
VN,7,en,0,40.13333333,cpuhub1,0.866666667,140.065,0
US,-6,en,0,3.233333333,23,0.3,71.65863526,0
PL,2,pl,0,49.18333333,16,0.05,58.4014889,1
FR,1,fr,117,2.55,16,0.983333333,165.055,1
US,-5,en,18,2.7,23,2.35,45.72630221,1
FR,1,en,0,2.016666667,22,0.616666667,54.48296038,1
CD,2,en,15,23.03333333,1x3090,0.316666667,26.54889574,0
US,-4,en,126,102.3,1x3090,1.316666667,135.269,1
VN,7,vi,2,0.316666667,cpuhub1,2,45.43689523,0
IN,5,en,0,72.58333333,1x3090,0.133333333,26.57196442,0
FR,1,fr,94,243.2833333,22,1,160.599,1
VN,7,en,202,4.15,1x3090,2.666666667,116.097,1
TH,7,en,139,1.033333333,1x2080Ti,0.4,54.53329203,0
US,-5,en,0,2.2,1x3090,1.483333333,60.76393062,1
VN,7,en,186,0.566666667,16,14.9,833.685,1
VN,7,vi,12,11.7,1x2080Ti,0.183333333,66.84042854,0
VN,2,en,214,3.8,1x3090,4320,150.662,0
NL,1,nl,0,0.883333333,1x3090,0.716666667,97.46409062,0
CA,-7,en,158,22.15,17,0.333333333,50.82743143,1
NG,1,en,91,78.73333333,cpuhub1,3.05,69.67053517,1
MX,-6,es,0,65.46666667,1x2080Ti,0.933333333,15.42665011,0
VN,7,vi,96,1.3,1x3090,1.8,175.063,1
VN,7,vi,314,5.116666667,1x3090,2.166666667,392.857,1
US,-5,en,56,22.38333333,1x3090,0.566666667,62.29170586,1
NL,2,nl,73,1.5,6x3080,5,20.06035561,1
NL,1,en,162,0.7,1x3090,0.4,141.435,1
VN,7,vi,86,12.85,cpuhub1,1.866666667,33.69671315,1
BJ,1,fr,12,14.95,16,2.5,88.13546993,1
AU,10,en,8,48.05,1x3090,0.383333333,58.91633971,1
CA,-7,en,0,1255.233333,16,0.4,33.86376192,0
US,-4,en,4,1.883333333,23,10.78333333,238.096,1
VN,7,vi,0,1.15,cpuhub1,4.116666667,21.47383022,1
HU,2,hu,6,21.78333333,cpuhub1,0.05,85.71712072,1
US,-7,en,12,0.216666667,18,1.85,614.958,1
VN,7,vi,0,0.716666667,1x3090,1.016666667,12.40570266,0
NG,1,en,0,1.6,22,0.083333333,42.074112,0
IN,5,en,23,744.9166667,1x3090,0.033333333,640.567,1
VN,7,en,0,0.966666667,1x3090,1.25,310.547,0
US,-7,en,137,507.9,1x3090,0.216666667,231.536,1
VN,7,en,10,3.3,1x3090,1.316666667,132.038,1
DE,2,en,1,0.533333333,16,0.35,71.12176435,1
DE,7,en,326,0.933333333,6x2080ti,0.05,144.74,1
IN,5,en,0,25.58333333,1x3090,1.333333333,76.9916928,0
VN,7,vi,0,1.2,cpuhub1,1.15,35.36565894,0
CG,-5,en,217,8.533333333,1x2080Ti,0.483333333,115.436,1
DE,1,en,19,1.833333333,16,0.283333333,36.22725222,1
IT,2,it,5,1.083333333,22,3.9,122.159,1
VN,7,vi,8,29.2,1x3090,1.066666667,175.729,1
IT,1,it,25,9.216666667,1x3090,0.083333333,32.10591636,1
TR,3,en,0,1.95,1x3090,0.6,33.77987584,0
IN,5,en,108,1.133333333,1x3090,3.533333333,124.519,1
TR,3,tr,1,29.26666667,1x3090,1.316666667,82.64832987,0
US,-4,en,1,0.633333333,1x3090,0.033333333,196.415,1
TW,8,zh,86,1.05,1x3090,0.7,155.798,1
IE,0,en,0,0.733333333,16,0.033333333,340.615,1
DE,1,de,72,0.566666667,1x2080Ti,0.2,11.37390387,0
FR,2,fr,3,453.2833333,6x3090,0.016666667,137.247,1
VN,7,en,1,0.683333333,16,0.2,40.8787206,1
CA,-6,zh,14,1.666666667,1x3090,0.05,31.79144623,1
US,-5,en,60,0.283333333,1x3090,0.183333333,86.6606121,1
UA,3,en,3,1.95,cpuhub1,0.216666667,134.779,1
VN,7,vi,156,138.15,1x3090,720,69.1277871,1
KR,9,ko,441,0.866666667,1x3090,1.75,156.661,1
AE,4,en,24,142.7833333,6x3090,0.966666667,15.69052246,1
AU,11,en,60,13.11666667,16,0.75,78.89485824,1
CA,-7,en,0,0.683333333,1x3090,0.4,41.49949235,0
NO,1,nb,289,0.716666667,6x3080,1.9,26.49850117,1
DE,2,de,313,0.266666667,1x3090,1.55,97.56367446,1
VN,7,en,0,3.616666667,16,0.716666667,25.90926438,0
US,2,pl,5,13395.11667,23,80.7,401.961,1
EC,-5,en,16,20,17,0.283333333,14.95112359,1
BR,-3,pt,0,92.71666667,cpuhub1,0.916666667,33.42440858,0
DE,2,de,0,0.55,22,2.916666667,43.24432282,1
VN,8,vi,3,0.166666667,1x3090,0.416666667,142.173,1
BR,-3,pt,4,38.4,1x3090,0,59.23720397,1
CA,-4,en,315,92.01666667,1x3090,1.133333333,115.951,1
PK,5,en,0,174.4,1x3090,1.85,18.20783212,0
VN,7,vi,133,1.016666667,1x3090,2.116666667,105.777,1
VN,7,en,27,39.2,1x3090,0.066666667,41.79506937,1
VN,7,vi,233,20.25,1x3090,0.45,54.44923277,1
BE,2,en,61,0.366666667,1x3090,0.133333333,197.871,1
TR,3,tr,1,26.85,23,2.5,45.6696791,1
VN,7,en,129,0.666666667,1x3090,0.733333333,41.80675315,1
AU,11,en,57,0.7,1x3090,0.716666667,69.71887391,1
DE,1,de,2,9608.7,23,0.183333333,182.044,0
RO,3,en,0,0.266666667,1x3090,0.3,7.346323456,0
NL,2,nl,21,0.716666667,1x3090,5.883333333,61.4245335,1
BG,7,vi,0,0.633333333,cpuhub1,2.433333333,2.246049792,0
MY,8,en,27,48.88333333,1x3090,1.016666667,39.5572705,1
GR,2,el,113,17.31666667,16,1.3,129.154,1
US,-7,en,5,9.35,6x2080ti,0.2,16.08132475,1
US,-8,en,0,1926.1,23,1.8,41.47956941,1
FR,2,fr,18,24.81666667,1x3090,0.316666667,157.829,1
LT,3,lt,7,8.966666667,cpuhub1,1.016666667,68.39524306,1
VN,7,vi,496,0.483333333,1x3090,4,438.462,1
